"","title","author","subject","abstract","date"
"81","scalable bayesian inference for the generalized linear mixed model","samuel i. berchuck, felipe a. medeiros, sayan mukherjee, andrea agazzi","computation","the generalized linear mixed model (glmm) is a popular statistical approach for handling correlated data, and is used extensively in applications areas where big data is common, including biomedical data settings. the focus of this paper is scalable statistical inference for the glmm, where we define statistical inference as: (i) estimation of population parameters, and (ii) evaluation of scientific hypotheses in the presence of uncertainty. artificial intelligence (ai) learning algorithms excel at scalable statistical estimation, but rarely include uncertainty quantification. in contrast, bayesian inference provides full statistical inference, since uncertainty quantification results automatically from the posterior distribution. unfortunately, bayesian inference algorithms, including markov chain monte carlo (mcmc), become computationally intractable in big data settings. in this paper, we introduce a statistical inference algorithm at the intersection of ai and bayesian inference, that leverages the scalability of modern ai algorithms with guaranteed uncertainty quantification that accompanies bayesian inference. our algorithm is an extension of stochastic gradient mcmc with novel contributions that address the treatment of correlated data (i.e., intractable marginal likelihood) and proper posterior variance estimation. through theoretical and empirical results we establish our algorithm's statistical inference properties, and apply the method in a large electronic health records database.",2024-03-05
"82","fuzzy datalog$^\exists$ over arbitrary t-norms","matthias lanzinger, stefano sferrazza, przemysław a. wałęga, georg gottlob","artificial intelligence","one of the main challenges in the area of neuro-symbolic ai is to perform logical reasoning in the presence of both neural and symbolic data. this requires combining heterogeneous data sources such as knowledge graphs, neural model predictions, structured databases, crowd-sourced data, and many more. to allow for such reasoning, we generalise the standard rule-based language datalog with existential rules (commonly referred to as tuple-generating dependencies) to the fuzzy setting, by allowing for arbitrary t-norms in the place of classical conjunctions in rule bodies. the resulting formalism allows us to perform reasoning about data associated with degrees of uncertainty while preserving computational complexity results and the applicability of reasoning techniques established for the standard datalog setting. in particular, we provide fuzzy extensions of datalog chases which produce fuzzy universal models and we exploit them to show that in important fragments of the language, reasoning has the same complexity as in the classical setting.",2024-03-05
"83","quantum data management: from theory to opportunities","rihan hai, shih-han hung, sebastian feld","databases","quantum computing has emerged as a transformative tool for future data management. classical problems in database domains, including query optimization, data integration, and transaction management, have recently been addressed using quantum computing techniques. this tutorial aims to establish the theoretical foundation essential for enhancing methodologies and practical implementations in this line of research. moreover, this tutorial takes a forward-looking approach by delving into recent strides in quantum internet technologies and the nonlocality theory. we aim to shed light on the uncharted territory of future data systems tailored for the quantum internet.",2024-03-05
"84","g4-attention: deep learning model with attention for predicting dna g-quadruplexes","shrimon mukherjee, pulakesh pramanik, partha basuchowdhuri, santanu bhattacharya","machine learning","g-quadruplexes are the four-stranded non-canonical nucleic acid secondary structures, formed by the stacking arrangement of the guanine tetramers. they are involved in a wide range of biological roles because of their exceptionally unique and distinct structural characteristics. after the completion of the human genome sequencing project, a lot of bioinformatic algorithms were introduced to predict the active g4s regions \textit{in vitro} based on the canonical g4 sequence elements, g-\textit{richness}, and g-\textit{skewness}, as well as the non-canonical sequence features. recently, sequencing techniques like g4-seq and g4-chip-seq were developed to map the g4s \textit{in vitro}, and \textit{in vivo} respectively at a few hundred base resolution. subsequently, several machine learning approaches were developed for predicting the g4 regions using the existing databases. however, their prediction models were simplistic, and the prediction accuracy was notably poor. in response, here, we propose a novel convolutional neural network with bi-lstm and attention layers, named g4-attention, to predict the g4 forming sequences with improved accuracy. g4-attention achieves high accuracy and attains state-of-the-art results in the g4 prediction task. our model also predicts the g4 regions accurately in the highly class-imbalanced datasets. in addition, the developed model trained on the human genome dataset can be applied to any non-human genome dna sequences to predict the g4 formation propensities.",2024-03-05
"85","deepbioisostere: discovering bioisosteres with deep learning for a fine control of multiple molecular properties","hyeongwoo kim, seokhyun moon, wonho zhung, jaechang lim, woo youn kim","biomolecules","optimizing molecules to improve their properties is a fundamental challenge in drug design. for a fine-tuning of molecular properties without losing bio-activity validated in advance, the concept of bioisosterism has emerged. many in silico methods have been proposed for discovering bioisosteres, but they require expert knowledge for their applications or are restricted to known databases. here, we introduce deepbioisostere, a deep generative model to design suitable bioisosteric replacements. our model allows an end-to-end chemical replacement by intelligently selecting fragments for removal and insertion along with their attachment orientation. through various scenarios of multiple property control, we showcase the model's capability to modulate specific properties, addressing the challenge in molecular optimization. our model's innovation lies in its capacity to design a bioisosteric replacement reflecting the compatibility with the surroundings of the modification site, facilitating the control of sophisticated properties like drug-likeness. deepbioisostere can also provide previously unseen bioisosteric replacements, highlighting its capability for exploring diverse chemical modifications rather than just mining them from known databases. lastly, we employed deepbioisostere to improve the sensitivity of a known sars-cov-2 main protease inhibitor to the e166v mutant that exhibits drug resistance to the inhibitor, demonstrating its potential application in lead optimization.",2024-03-05
"86","a dual-level cancelable framework for palmprint verification and hack-proof data storage","ziyuan yang, ming kang, andrew beng jin teoh, chengrui gao, wen chen, bob zhang, yi zhang","cryptography and security","in recent years, palmprints have been widely used for individual verification. the rich privacy information in palmprint data necessitates its protection to ensure security and privacy without sacrificing system performance. existing systems often use cancelable technologies to protect templates, but these technologies ignore the potential risk of data leakage. upon breaching the system and gaining access to the stored database, a hacker could easily manipulate the stored templates, compromising the security of the verification system. to address this issue, we propose a dual-level cancelable palmprint verification framework in this paper. specifically, the raw template is initially encrypted using a competition hashing network with a first-level token, facilitating the end-to-end generation of cancelable templates. different from previous works, the protected template undergoes further encryption to differentiate the second-level protected template from the first-level one. the system specifically creates a negative database (ndb) with the second-level token for dual-level protection during the enrollment stage. reversing the ndb is np-hard and a fine-grained algorithm for ndb generation is introduced to manage the noise and specified bits. during the verification stage, we propose an ndb matching algorithm based on matrix operation to accelerate the matching process of previous ndb methods caused by dictionary-based matching rules. this approach circumvents the need to store templates identical to those utilized for verification, reducing the risk of potential data leakage. extensive experiments conducted on public palmprint datasets have confirmed the effectiveness and generality of the proposed framework. upon acceptance of the paper, the code will be accessible at this https url.",2024-03-05
"87","false positive sampling-based data augmentation for enhanced 3d object detection accuracy","jiyong oh, junhaeng lee, woongchan byun, minsang kong, sang hun lee","computer vision and pattern recognition","recent studies have focused on enhancing the performance of 3d object detection models. among various approaches, ground-truth sampling has been proposed as an augmentation technique to address the challenges posed by limited ground-truth data. however, an inherent issue with ground-truth sampling is its tendency to increase false positives. therefore, this study aims to overcome the limitations of ground-truth sampling and improve the performance of 3d object detection models by developing a new augmentation technique called false-positive sampling. false-positive sampling involves retraining the model using point clouds that are identified as false positives in the model's predictions. we propose an algorithm that utilizes both ground-truth and false-positive sampling and an algorithm for building the false-positive sample database. additionally, we analyze the principles behind the performance enhancement due to false-positive sampling and propose a technique that applies the concept of curriculum learning to the sampling strategy that encompasses both false-positive and ground-truth sampling techniques. our experiments demonstrate that models utilizing false-positive sampling show a reduction in false positives and exhibit improved object detection performance. on the kitti and waymo open datasets, models with false-positive sampling surpass the baseline models by a large margin.",2024-03-05
"88","acemap: knowledge discovery through academic graph","xinbing wang, luoyi fu, xiaoying gan, ying wen, guanjie zheng, jiaxin ding, liyao xiang, nanyang ye, meng jin, shiyu liang, bin lu, haiwen wang, yi xu, cheng deng, shao zhang, huquan kang, xingli wang, qi li, zhixin guo, jiexing qi, pan liu, yuyang ren, lyuwen wu, jungang yang, jianping zhou, chenghu zhou","digital libraries","the exponential growth of scientific literature requires effective management and extraction of valuable insights. while existing scientific search engines excel at delivering search results based on relational databases, they often neglect the analysis of collaborations between scientific entities and the evolution of ideas, as well as the in-depth analysis of content within scientific publications. the representation of heterogeneous graphs and the effective measurement, analysis, and mining of such graphs pose significant challenges. to address these challenges, we present acemap, an academic system designed for knowledge discovery through academic graph. we present advanced database construction techniques to build the comprehensive acemap database with large-scale academic publications that contain rich visual, textual, and numerical information. acemap also employs innovative visualization, quantification, and analysis methods to explore associations and logical relationships among academic entities. acemap introduces large-scale academic network visualization techniques centered on nebular graphs, providing a comprehensive view of academic networks from multiple perspectives. in addition, acemap proposes a unified metric based on structural entropy to quantitatively measure the knowledge content of different academic entities. moreover, acemap provides advanced analysis capabilities, including tracing the evolution of academic ideas through citation relationships and concept co-occurrence, and generating concise summaries informed by this evolutionary process. in addition, acemap uses machine reading methods to generate potential new ideas at the intersection of different fields. exploring the integration of large language models and knowledge graphs is a promising direction for future research in idea evolution. please visit \url{this https url} for further exploration.",2024-03-05
"89","enhancing magnetocaloric material discovery: a machine learning approach using an autogenerated database by large language models","jiaoyue yuan, runqing yang, lokanath patra, bolin liao","materials science","magnetic cooling based on the magnetocaloric effect is a promising solid-state refrigeration technology for a wide range of applications in different temperature ranges. previous studies have mostly focused on near room temperature (300 k) and cryogenic temperature (< 10 k) ranges, while important applications such as hydrogen liquefaction call for efficient magnetic refrigerants for the intermediate temperature 10k to 100 k. for efficient use in this range, new magnetocaloric materials with matching curie temperatures need to be discovered, while conventional experimental approaches are typically time-consuming and expensive. here, we report a computational material discovery pipeline based on a materials database containing more than 6000 entries auto-generated by extracting reported material properties from literature using a large language model. we then use this database to train a machine learning model that can efficiently predict magnetocaloric properties of materials based on their chemical composition. we further verify the magnetocaloric properties of predicted compounds using ab initio atomistic spin dynamics simulations to close the loop for computational material discovery. using this approach, we identify 11 new promising magnetocaloric materials for the target temperature range. our work demonstrates the potential of combining large language models, machine learning, and ab initio simulations to efficiently discover new functional materials.",2024-03-05
"90","daco: towards application-driven and comprehensive data analysis via code generation","xueqing wu, rui zheng, jingzhen sha, te-lin wu, hanyu zhou, mohan tang, kai-wei chang, nanyun peng, haoran huang","computation and language","data analysis is a crucial analytical process to generate in-depth studies and conclusive insights to comprehensively answer a given user query for tabular data. in this work, we aim to propose new resources and benchmarks to inspire future research on this crucial yet challenging and under-explored task. however, collecting data analysis annotations curated by experts can be prohibitively expensive. we propose to automatically generate high-quality answer annotations leveraging the code-generation capabilities of llms with a multi-turn prompting technique. we construct the daco dataset, containing (1) 440 databases (of tabular data) collected from real-world scenarios, (2) ~2k query-answer pairs that can serve as weak supervision for model training, and (3) a concentrated but high-quality test set with human refined annotations that serves as our main evaluation benchmark. we train a 6b supervised fine-tuning (sft) model on daco dataset, and find that the sft model learns reasonable data analysis capabilities. to further align the models with human preference, we use reinforcement learning to encourage generating analysis perceived by human as helpful, and design a set of dense rewards to propagate the sparse human preference reward to intermediate code generation steps. our daco-rl algorithm is evaluated by human annotators to produce more helpful answers than sft model in 57.72% cases, validating the effectiveness of our proposed algorithm. data and code are released at this https url",2024-03-04
"91","domain adaptation, explainability & fairness in ai for medical image analysis: diagnosis of covid-19 based on 3-d chest ct-scans","dimitrios kollias, anastasios arsenos, stefanos kollias","image and video processing","the paper presents the def-ai-mia cov19d competition, which is organized in the framework of the 'domain adaptation, explainability, fairness in ai for medical image analysis (def-ai-mia)' workshop of the 2024 computer vision and pattern recognition (cvpr) conference. the competition is the 4th in the series, following the first three competitions held in the framework of iccv 2021, eccv 2022 and icassp 2023 international conferences respectively. it includes two challenges on: i) covid-19 detection and ii) covid-19 domain adaptation. the competition use data from cov19-ct-db database, which is described in the paper and includes a large number of chest ct scan series. each chest ct scan series consists of a sequence of 2-d ct slices, the number of which is between 50 and 700. training, validation and test datasets have been extracted from cov19-ct-db and provided to the participants in both challenges. the paper presents the baseline models used in the challenges and the performance which was obtained respectively.",2024-03-04
"92","speech emotion recognition from voice messages recorded in the wild","lucía gómez-zaragozá, óscar valls, rocío del amor, maría josé castro-bleda, valery naranjo, mariano alcañiz raya, javier marín-morales","audio and speech processing","emotion datasets used for speech emotion recognition (ser) often contain acted or elicited speech, limiting their applicability in real-world scenarios. in this work, we used the emotional voice messages (emovome) database, including spontaneous voice messages from conversations of 100 spanish speakers on a messaging app, labeled in continuous and discrete emotions by expert and non-expert annotators. we created speaker-independent ser models using the egemaps features, transformer-based models and their combination. we compared the results with reference databases and analyzed the influence of annotators and gender fairness. the pre-trained unispeech-l model and its combination with egemaps achieved the highest results, with 61.64% and 55.57% unweighted accuracy (ua) for 3-class valence and arousal prediction respectively, a 10% improvement over baseline models. for the emotion categories, 42.58% ua was obtained. emovome performed lower than the acted ravdess database. the elicited iemocap database also outperformed emovome in the prediction of emotion categories, while similar results were obtained in valence and arousal. additionally, emovome outcomes varied with annotator labels, showing superior results and better fairness when combining expert and non-expert annotations. this study significantly contributes to the evaluation of ser models in real-life situations, advancing in the development of applications for analyzing spontaneous voice messages.",2024-03-04
"93","unveiling hidden links between unseen security entities","daniel alfasi, tal shapira, anat bremler barr","cryptography and security","the proliferation of software vulnerabilities poses a significant challenge for security databases and analysts tasked with their timely identification, classification, and remediation. with the national vulnerability database (nvd) reporting an ever-increasing number of vulnerabilities, the traditional manual analysis becomes untenably time-consuming and prone to errors. this paper introduces vulnscopper, an innovative approach that utilizes multi-modal representation learning, combining knowledge graphs (kg) and natural language processing (nlp), to automate and enhance the analysis of software vulnerabilities. leveraging ultra, a knowledge graph foundation model, combined with a large language model (llm), vulnscopper effectively handles unseen entities, overcoming the limitations of previous kg approaches. we evaluate vulnscopper on two major security datasets, the nvd and the red hat cve database. our method significantly improves the link prediction accuracy between common vulnerabilities and exposures (cves), common weakness enumeration (cwes), and common platform enumerations (cpes). our results show that vulnscopper outperforms existing methods, achieving up to 78% hits@10 accuracy in linking cves to cpes and cwes and presenting an 11.7% improvement over large language models in predicting cwe labels based on the red hat database. based on the nvd, only 6.37% of the linked cpes are being published during the first 30 days; many of them are related to critical and high-risk vulnerabilities which, according to multiple compliance frameworks (such as cisa and pci), should be remediated within 15-30 days. our model can uncover new products linked to vulnerabilities, reducing remediation time and improving vulnerability management. we analyzed several cves from 2023 to showcase this ability.",2024-03-04
"94","ocel (object-centric event log) 2.0 specification","alessandro berti, istvan koren, jan niklas adams, gyunam park, benedikt knopp, nina graves, majid rafiei, lukas liß, leah tacke genannt unterberg, yisong zhang, christopher schwanen, marco pegoraro, wil m.p. van der aalst","databases","object-centric event logs (ocels) form the basis for object-centric process mining (ocpm). ocel 1.0 was first released in 2020 and triggered the development of a range of ocpm techniques. ocel 2.0 forms the new, more expressive standard, allowing for more extensive process analyses while remaining in an easily exchangeable format. in contrast to the first ocel standard, it can depict changes in objects, provide information on object relationships, and qualify these relationships to other objects or specific events. compared to xes, it is more expressive, less complicated, and better readable. ocel 2.0 offers three exchange formats: a relational database (sqlite), xml, and json format. this ocel 2.0 specification document provides an introduction to the standard, its metamodel, and its exchange formats, aimed at practitioners and researchers alike.",2024-03-04
"95","arabic text sentiment analysis: reinforcing human-performed surveys with wider topic analysis","latifah almurqren, ryan hodgson, alexandra cristea","computation and language","sentiment analysis (sa) has been, and is still, a thriving research area. however, the task of arabic sentiment analysis (asa) is still underrepresented in the body of research. this study offers the first in-depth and in-breadth analysis of existing asa studies of textual content and identifies their common themes, domains of application, methods, approaches, technologies and algorithms used. the in-depth study manually analyses 133 asa papers published in the english language between 2002 and 2020 from four academic databases (sage, ieee, springer, wiley) and from google scholar. the in-breadth study uses modern, automatic machine learning techniques, such as topic modelling and temporal analysis, on open access resources, to reinforce themes and trends identified by the prior study, on 2297 asa publications between 2010-2020. the main findings show the different approaches used for asa: machine learning, lexicon-based and hybrid approaches. other findings include asa 'winning' algorithms (svm, nb, hybrid methods). deep learning methods, such as lstm can provide higher accuracy, but for asa sometimes the corpora are not large enough to support them. additionally, whilst there are some asa corpora and lexicons, more are required. specifically, arabic tweets corpora and datasets are currently only moderately sized. moreover, arabic lexicons that have high coverage contain only modern standard arabic (msa) words, and those with arabic dialects are quite small. thus, new corpora need to be created. on the other hand, asa tools are stringently lacking. there is a need to develop asa tools that can be used in industry, as well as in academia, for arabic text sa. hence, our study offers insights into the challenges associated with asa research and provides suggestions for ways to move the field forward such as lack of dialectical arabic resource, arabic tweets, corpora and data sets for sa.",2024-03-04
"96","schema-based query optimisation for graph databases","chandan sharma (tyrex), pierre genevès (tyrex), nils gesbert (tyrex), nabil layaïda (tyrex)","databases","recursive graph queries are increasingly popular for extracting information from interconnected data found in various domains such as social networks, life sciences, and business analytics. graph data often come with schema information that describe how nodes and edges are organized. we propose a type inference mechanism that enriches recursive graph queries with relevant structural information contained in a graph schema. we show that this schema information can be useful in order to improve the performance when evaluating acylic recursive graph queries. furthermore, we prove that the proposed method is sound and complete, ensuring that the semantics of the query is preserved during the schema-enrichment process.",2024-03-04
"97","relational to rdf data migration by query co-evaluation","ryan wisnesky, daniel filonik","databases","in this paper we define a new algorithm to convert an input relational database to an output set of rdf triples. the algorithm can be used to e.g. load csv data into a financial owl ontology such as fibo. the algorithm takes as input a set of relational conjunctive (select-from-where) queries, one for each input table, from the three column (subject, predicate, object) output rdf schema to the input table's relational schema. the algorithm's output is the only set of rdf triples for which a unique round-trip of the input data under the relational queries exists. the output may contain blank nodes, is unique up to unique isomorphism, and can be obtained using elementary formal methods (equational theorem proving and term model construction specifically). we also describe how (generalized) homomorphisms between graphs can be used to write such relational conjunctive (select-from-where) queries, which, due to the lack of structure in the three-column rdf schema, tend to be large in practice. we demonstrate examples of both the algorithm and mapping language on the fibo financial ontology.",2024-03-03
"98","respiratory motion forecasting with online learning of recurrent neural networks for safety enhancement in externally guided radiotherapy","michel pohl, mitsuru uesaka, hiroyuki takahashi, kazuyuki demachi, ritu bhusal chhatkuli","machine learning","in lung radiotherapy, infrared cameras can record the location of reflective objects on the chest to infer the position of the tumor moving due to breathing, but treatment system latencies hinder radiation beam precision. real-time recurrent learning (rtrl), is a potential solution as it can learn patterns within non-stationary respiratory data but has high complexity. this study assesses the capabilities of resource-efficient online rnn algorithms, namely unbiased online recurrent optimization (uoro), sparse-1 step approximation (snap-1), and decoupled neural interfaces (dni) to forecast respiratory motion during radiotherapy treatment accurately. we use time series containing the 3d position of external markers on the chest of healthy subjects. we propose efficient implementations for snap-1 and dni based on compression of the influence and immediate jacobian matrices and an accurate update of the linear coefficients used in credit assignment estimation, respectively. the original sampling frequency was 10hz; we performed resampling at 3.33hz and 30hz. we use uoro, snap-1, and dni to forecast each marker's 3d position with horizons (the time interval in advance for which the prediction is made) h<=2.1s and compare them with rtrl, least mean squares, and linear regression. rnns trained online achieved similar or better accuracy than most previous works using larger training databases and deep learning, even though we used only the first minute of each sequence to predict motion within that exact sequence. snap-1 had the lowest normalized root mean square errors (nrmse) averaged over the horizon values considered, equal to 0.335 and 0.157, at 3.33hz and 10.0hz, respectively. similarly, uoro had the highest accuracy at 30hz, with an nrmse of 0.0897. dni's inference time, equal to 6.8ms per time step at 30hz (intel core i7-13700 cpu), was the lowest among the rnn methods examined.",2024-03-03
"99","approximations and hardness of packing partially ordered items","ilan doron-arad, guy kortsarz, joseph naor, baruch schieber, hadas shachnai","data structures and algorithms","motivated by applications in production planning and storage allocation in hierarchical databases, we initiate the study of covering partially ordered items (cpo). given a capacity $k \in \mathbb{z}^+$, and a directed graph $g=(v,e)$ where each vertex has a size in $\{0,1, \ldots,k\}$, we seek a collection of subsets of vertices $s_1, \ldots, s_m$ that cover all the vertices, such that for any $1 \leq j \leq m$, the total size of vertices in $s_j$ is bounded by $k$, and there are no edges from $v \setminus s_j$ to $s_j$. the objective is to minimize the number of subsets $m$. cpo is closely related to the rule caching problem (rcp) that is of wide interest in the networking area. the input for rcp is a directed graph $g=(v,e)$, a profit function $p:v \rightarrow \mathbb{z}_{0}^+$, and $k \in \mathbb{z}^+$. the output is a subset $s \subseteq v$ of maximum profit such that $|s| \leq k$ and there are no edges from $v \setminus s$ to $s$. our main result is a $2$-approximation algorithm for cpo on out-trees, complemented by an asymptotic $1.5$-hardness of approximation result. we also give a two-way reduction between rcp and the densest $k$-subhypergraph problem, surprisingly showing that the problems are equivalent w.r.t. polynomial-time approximation within any factor $\rho \geq 1$. this implies that rcp cannot be approximated within factor $|v|^{1-\eps}$ for any fixed $\eps>0$, under standard complexity assumptions. prior to this work, rcp was just known to be strongly np-hard. we further show that there is no eptas for the special case of rcp where the profits are uniform, assuming gap-eth. since this variant admits a ptas, we essentially resolve the complexity status of this problem.",2024-03-03
"100","rematch: retrieval enhanced schema matching with llms","eitam sheetrit, menachem brief, moshik mishaeli, oren elisha","databases","schema matching is a crucial task in data integration, involving the alignment of a source database schema with a target schema to establish correspondence between their elements. this task is challenging due to textual and semantic heterogeneity, as well as differences in schema sizes. although machine-learning-based solutions have been explored in numerous studies, they often suffer from low accuracy, require manual mapping of the schemas for model training, or need access to source schema data which might be unavailable due to privacy concerns. in this paper we present a novel method, named rematch, for matching schemas using retrieval-enhanced large language models (llms). our method avoids the need for predefined mapping, any model training, or access to data in the source database. in the rematch method the tables of the target schema and the attributes of the source schema are first represented as structured passage-based documents. for each source attribute document, we retrieve $j$ documents, representing target schema tables, according to their semantic relevance. subsequently, we create a prompt for every source table, comprising all its attributes and their descriptions, alongside all attributes from the set of top $j$ target tables retrieved previously. we employ llms using this prompt for the matching task, yielding a ranked list of $k$ potential matches for each source attribute. our experimental results on large real-world schemas demonstrate that rematch significantly improves matching capabilities and outperforms other machine learning approaches. by eliminating the requirement for training data, rematch becomes a viable solution for real-world scenarios.",2024-03-03
"101","spectral operator representations","austin zadoks, antimo marrazzo, nicola marzari","materials science","machine learning in atomistic materials science has grown to become a powerful tool, with most approaches focusing on atomic arrangements, typically decomposed into local atomic environments. this approach, while well-suited for machine-learned interatomic potentials, is conceptually at odds with learning complex intrinsic properties of materials, often driven by spectral properties commonly represented in reciprocal space (e.g., band gaps or mobilities) which cannot be readily atomically partitioned. for such applications, methods which represent the electronic rather than the atomic structure could be more promising. in this work, we present a general framework focused on electronic-structure descriptors which take advantage of the natural symmetries and inherent interpretability of physical models. using this framework, we formulate two such representations and apply them respectively to measuring the similarity of carbon nanotubes and barium titanate polymorphs, and to the discovery of novel transparent conducting materials (tcms) in the materials cloud 3d database (mc3d). a random forest classifier trained on 1% of the materials in the mc3d is able to correctly label 76% of entries in database which meet common screening criteria for promising tcms.",2024-03-03
"102","applying self-supervised learning to network intrusion detection for network flows with graph neural network","renjie xu, guangwei wu, weiping wang, xing gao, an he, zhengpeng zhang","machine learning","graph neural networks (gnns) have garnered intensive attention for network intrusion detection system (nids) due to their suitability for representing the network traffic flows. however, most present gnn-based methods for nids are supervised or semi-supervised. network flows need to be manually annotated as supervisory labels, a process that is time-consuming or even impossible, making nids difficult to adapt to potentially complex attacks, especially in large-scale real-world scenarios. the existing gnn-based self-supervised methods focus on the binary classification of network flow as benign or not, and thus fail to reveal the types of attack in practice. this paper studies the application of gnns to identify the specific types of network flows in an unsupervised manner. we first design an encoder to obtain graph embedding, that introduces the graph attention mechanism and considers the edge information as the only essential factor. then, a self-supervised method based on graph contrastive learning is proposed. the method samples center nodes, and for each center node, generates subgraph by it and its direct neighbor nodes, and corresponding contrastive subgraph from the interpolated graph, and finally constructs positive and negative samples from subgraphs. furthermore, a structured contrastive loss function based on edge features and graph local topology is introduced. to the best of our knowledge, it is the first gnn-based self-supervised method for the multiclass classification of network flows in nids. detailed experiments conducted on four real-world databases (nf-bot-iot, nf-bot-iot-v2, nf-cse-cic-ids2018, and nf-cse-cic-ids2018-v2) systematically compare our model with the state-of-the-art supervised and self-supervised models, illustrating the considerable potential of our method. our code is accessible through this https url.",2024-03-03
"103","enhancing data provenance and model transparency in federated learning systems -- a database approach","michael gu, ramasoumya naraparaju, dongfang zhao","cryptography and security","federated learning (fl) presents a promising paradigm for training machine learning models across decentralized edge devices while preserving data privacy. ensuring the integrity and traceability of data across these distributed environments, however, remains a critical challenge. the ability to create transparent artificial intelligence, such as detailing the training process of a machine learning model, has become an increasingly prominent concern due to the large number of sensitive (hyper)parameters it utilizes; thus, it is imperative to strike a reasonable balance between openness and the need to protect sensitive information. in this paper, we propose one of the first approaches to enhance data provenance and model transparency in federated learning systems. our methodology leverages a combination of cryptographic techniques and efficient model management to track the transformation of data throughout the fl process, and seeks to increase the reproducibility and trustworthiness of a trained fl model. we demonstrate the effectiveness of our approach through experimental evaluations on diverse fl scenarios, showcasing its ability to tackle accountability and explainability across the board. our findings show that our system can greatly enhance data transparency in various fl environments by storing chained cryptographic hashes and client model snapshots in our proposed design for data decoupled fl. this is made possible by also employing multiple optimization techniques which enables comprehensive data provenance without imposing substantial computational loads. extensive experimental results suggest that integrating a database subsystem into federated learning systems can improve data provenance in an efficient manner, encouraging secure fl adoption in privacy-sensitive applications and paving the way for future advancements in fl transparency and security features.",2024-03-03
"104","temperature, pressure, velocity, and water vapor mole fraction profiles in a ramjet combustor using dual frequency comb spectroscopy and a high temperature absorption database","david yun, scott c. egbert, nathan a. malarich, ryan k. cole, jacob j. france, jiwen liu, kristin m. rice, mark a. hagenmaier, jeffrey m. donbar, nazanin hoghooghi, sean c. coburn, gregory b. rieker","fluid dynamics","accurate diagnostics of the combustor region of ramjet engines can improve engine design and create benchmarks for computational fluid dynamics models. previous works demonstrate that dual frequency comb spectroscopy can provide low uncertainty diagnostics of multiple flow parameters in the non-combusting regions of ramjets. however, the high temperatures present in the combustor present a challenge for broadband spectroscopic absorption models that are used to interpret measurements in these regions. here, we utilize a new water vapor absorption database created for high temperature water-air mixtures to fit spectra measured in a ground-test ramjet engine with a broadband near-infrared dual comb absorption spectrometer. we extract 2d profiles of pressure, temperature, water mole fraction, and velocity using this new database. we demonstrate that the new database provides the lowest fit residuals compared to other water vapor absorption databases. we compare computational fluid dynamics simulations of the combustor with the measured data to demonstrate that the simulations overpredict heat release and water vapor production.",2024-03-03
"105","single-beam velocimetry with dual frequency comb absorption spectroscopy","david yun, scott c. egbert, augustine t. frymire, sean c. coburn, jacob j. france, kristin m. rice, jeffrey m. donbar, gregory b. rieker","optics","laser absorption doppler velocimeters use a crossed-beam configuration to cancel error due to laser frequency drift and absorption model uncertainty. this configuration complicates the spatial interpretation of the measurement since the two beams sample different volumes of gas. here, we achieve single-beam velocimetry with a portable dual comb spectrometer (dcs) with high frequency accuracy and stability enabled by gps-referencing, and a new high-temperature water vapor absorption database. we measure the inlet flow in a supersonic ramjet engine and demonstrate single-beam measurements that are on average within 19 m/s of concurrent crossed-beam measurements. we estimate that the dcs and the new database contribute 1.6 and 13 m/s to this difference respectively.",2024-03-03
"106","d-dse: distinct dynamic searchable encryption resisting volume leakage in encrypted databases","dongli liu, wei wang, peng xu, laurence t. yang, bo luo, kaitai liang","cryptography and security","dynamic searchable encryption (dse) has emerged as a solution to efficiently handle and protect large-scale data storage in encrypted databases (edbs). volume leakage poses a significant threat, as it enables adversaries to reconstruct search queries and potentially compromise the security and privacy of data. padding strategies are common countermeasures for the leakage, but they significantly increase storage and communication costs. in this work, we develop a new perspective to handle volume leakage. we start with distinct search and further explore a new concept called \textit{distinct} dse (\textit{d}-dse). we also define new security notions, in particular distinct with volume-hiding security, as well as forward and backward privacy, for the new concept. based on \textit{d}-dse, we construct the \textit{d}-dse designed edb with related constructions for distinct keyword (d-kw-\textit{d}dse), keyword (kw-\textit{d}dse), and join queries (join-\textit{d}dse) and update queries in encrypted databases. we instantiate a concrete scheme \textsf{bf-sre}, employing symmetric revocable encryption. we conduct extensive experiments on real-world datasets, such as crime, wikipedia, and enron, for performance evaluation. the results demonstrate that our scheme is practical in data search and with comparable computational performance to the sota dse scheme (\textsf{mitra}*, \textsf{aura}) and padding strategies (\textsf{seal}, \textsf{shielddb}). furthermore, our proposal sharply reduces the communication cost as compared to padding strategies, with roughly 6.36 to 53.14x advantage for search queries.",2024-03-02
